매장명,주소
CAFE31서초우성,서울 서초구 서초동 1337-34 1층
교대역,"서울 서초구 서초대로 331 (서초동, 정우빌딩)"
flow도곡,서울 강남구 도곡동 902-2 지상 1층 102호
반포삼호가든,서울 서초구 고무래로8길 2
양재역사,"서울 서초구 남부순환로 지하 2585 (서초동, 양재역)"
양재사옥,서울 서초구 남부순환로 2620 지하1층
반포역,서울 서초구 잠원동 58-24
선릉,서울 강남구 역삼동 696-5 함지빌딩1층
남부터미널역,"서울 서초구 반포대로10길 35 (서초동, 서초지웰)"
고속터미널역,서울특별시 서초구 반포동 19-4 고속터미널역 지하 엔터식스스쇼핑
고속터미널경부선,서울 서초구 반포동 19-4 강남고속버스터미널 경부선 1층
대치,서울 강남구 선릉로 402
대치2호,서울 강남구 선릉로64길 5
세로수길,"서울 강남구 도산대로11길 15 (신사동), 1층"
반포서래마을,"서울 서초구 서래로 39 (반포동,1층)"
삼성플래티넘,서울 강남구 봉은사로 474
서초,서울 서초구 방배3동 1001-31
포이동,서울 강남구 개포동 1238-7
BROWN청담,서울 강남구 도산대로 327 (신사동) SGF 청담타워 3층
은마사거리,서울 강남구 도곡로 504 (대치동)
파르나스몰,"서울 강남구 테헤란로 521, 지하1층 R-21,22호 (삼성동, 파르나스타워)"
방배역,서울 서초구 방배로 100 (방배동)
내방,서울 서초구 방배로 200 (방배동)
압구정역,서울 강남구 압구정로 206 (신사동)
양재매헌,서울 서초구 동산로 18
청담사거리,서울 강남구 도산대로 521 (청담동)
개포,서울 강남구 개포동 186-16
서초우면,"서울 서초구 태봉로 70, 107-1호"
이수역,"서울 동작구 동작대로 27길 15, 101호"
한남,서울 용산구 대사관로 66-1 (한남동)
HIVE한남,"서울 용산구 독서당로 93 (한남동, 멕시코대사관)"
사당방배,"서울 서초구 동작대로 44 (방배동, 은혜빌딩)"
일원,"서울 강남구 개포로110길 43 (일원동, 개포한신아파트)"
사당역,서울 관악구 과천대로 949
옥수역,"서울 성동구 한림말1길 10 (옥수동, 예건네스빌) 101호"
잠실새내중앙,"서울 송파구 백제고분로7길 29 (잠실동, 우림빌딩)"
남성역,서울 동작구 사당로 236
동부이촌,"서울 용산구 이촌동 300-301 삼익상가 108, 109호"
성수이마트,서울 성동구 뚝섬로 379
